2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 43,26; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 44,26; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 45,26; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 46,26; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:55 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 46,27; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 46,28; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 46,29; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 46,30; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 46,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 45,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 44,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 43,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 42,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 41,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 40,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 39,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 38,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 37,31; Key:    [1]; Health:  87.5; Tile: ROAD
